latitude,longitude,altitude,geometry,@id,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,name,shop,opening_hours
22.6243737,120.2822959,,Point,node/2265659029,高雄市,TW,218,803,五福四路,O'girl 歐德名店,clothes,
22.6240946,120.282827,,Point,node/2265659033,,,,,,小雨的兒子,clothes,
22.6259663,120.2837972,,Point,node/2265659035,高雄市,TW,118,803,大仁路,真便宜批發,clothes,
22.6254405,120.2827351,,Point,node/2272785393,高雄市,TW,151,803,瀨南街,大華學生服,clothes,
22.6242666,120.2825063,,Point,node/2273757420,高雄市,TW,208,803,五福四路,,clothes,Mo-Sa 11:00-21:00; Su 11:00-20:00
22.6242957,120.2824491,,Point,node/2273757440,高雄市,TW,210,803,五福四路,達瑩,clothes,
22.6243313,120.2851669,,Point,node/2283987176,高雄市,,188,803,莒光街,,clothes,
22.6186951,120.2852647,,Point,node/3973932909,,,,,,PO_I客製衣,clothes,
22.6184345,120.2851165,,Point,node/3973932942,,,,,,創夏設計實驗所,clothes,
22.618719,120.2855683,,Point,node/3973932949,,,,,,繭裹子,clothes,
